Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent
2011-15,Citywide,New York City, New York City,1,Poverty,"1,710,872",20.6,,
2011-15,Borough,Bronx, Bronx,1,Poverty,"427,574",30.7,,
2011-15,Borough,Brooklyn, Brooklyn,2,Poverty,"597,404",23.2,,
2011-15,Borough,Manhattan, Manhattan,3,Poverty,"283,590",17.9,,
2011-15,Borough,Queens, Queens,4,Poverty,"343,834",15.1,,
2011-15,Borough,Staten Island, Staten Island,5,Poverty,"58,470",12.5,,
2011-15,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Poverty,"7,543",8.4,,
2011-15,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Poverty,"89,354",27.3,,
2011-15,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Poverty,"33,668",16.1,,
2011-15,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Poverty,"92,821",27.2,,
2011-15,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Poverty,"27,775",13.5,,
2011-15,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Poverty,"51,123",30,,
2011-15,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Poverty,"18,320",12.4,,
2011-15,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Poverty,"56,608",20.2,,
2011-15,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Poverty,"87,376",41.6,,
2011-15,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Poverty,"38,997",16.2,,
2011-15,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Poverty,"54,564",18.1,,
2011-15,Neighborhood (UHF 42),Manhattan, East Harlem,303,Poverty,"36,518",33.3,,
2011-15,Neighborhood (UHF 42),Brooklyn, East New York,204,Poverty,"58,202",31.1,,
2011-15,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Poverty,"39,671",15.4,,
2011-15,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Poverty,"82,470",33.1,,
2011-15,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Poverty,"13,688",13.8,,
2011-15,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Poverty,"11,899",9.5,,
2011-15,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Poverty,"34,188",25.8,,
2011-15,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Poverty,"7,315",9.3,,
2011-15,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Poverty,"85,490",40.2,,
2011-15,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Poverty,"59,924",43.1,,
2011-15,Neighborhood (UHF 42),Queens, Jamaica,408,Poverty,"46,735",15.5,,
2011-15,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Poverty,"14,059",15.9,,
2011-15,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Poverty,"34,694",16.8,,
2011-15,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Poverty,"5,944",10.7,,
2011-15,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Poverty,"30,305",15.3,,
2011-15,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Poverty,"70,757",23.2,,
2011-15,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Poverty,"15,104",22.7,,
2011-15,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Poverty,"31,807",12.7,,
2011-15,Neighborhood (UHF 42),Queens, Rockaways,410,Poverty,"21,801",19,,
2011-15,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Poverty,"14,690",7.6,,
2011-15,Neighborhood (UHF 42),Queens, Southeast Queens,409,Poverty,"19,339",7.2,,
2011-15,Neighborhood (UHF 42),Queens, Southwest Queens,407,Poverty,"42,204",14.6,,
2011-15,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Poverty,"21,193",17.7,,
2011-15,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Poverty,"41,214",32,,
2011-15,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Poverty,"42,963",22.8,,
2011-15,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Poverty,"14,449",6.6,,
2011-15,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Poverty,"24,355",11.4,,
2011-15,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Poverty,"67,893",25.6,,
2011-15,Neighborhood (UHF 42),Queens, West Queens,402,Poverty,"88,169",19.1,,
2011-15,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Poverty,"70,013",31.7,,
2011-15,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Poverty,"7,483",8.6,,
2011-15,Neighborhood (subborough/PUMA),Queens, Astoria,39,Poverty,"30,673",17.7,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bay Ridge,20,Poverty,"20,998",16.2,,
2011-15,Neighborhood (subborough/PUMA),Queens, Bayside/Little Neck,49,Poverty,"9,629",8,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bedford Stuyvesant,13,Poverty,"44,892",32.4,,
2011-15,Neighborhood (subborough/PUMA),Queens, Bellerose/Rosedale,51,Poverty,"17,410",8.8,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bensonhurst,21,Poverty,"34,697",18.4,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Borough Park,22,Poverty,"53,548",32.5,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Brooklyn Heights/Fort Greene,12,Poverty,"24,307",19.2,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Brownsville/Ocean Hill,26,Poverty,"45,448",36.8,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bushwick,14,Poverty,"39,826",29.3,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Central Harlem,36,Poverty,"37,385",28.5,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Chelsea/Clinton/Midtown,31,Poverty,"19,151",13.1,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Coney Island,23,Poverty,"28,294",26.5,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, East Flatbush,27,Poverty,"23,465",17.3,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, East Harlem,37,Poverty,"39,280",33.2,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, East New York/Starret City,15,Poverty,"46,181",30.1,,
2011-15,Neighborhood (subborough/PUMA),Queens, Elmhurst/Corona,42,Poverty,"31,951",22.4,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Flatbush,24,Poverty,"34,582",21.5,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Flatlands/Canarsie,28,Poverty,"25,419",12.3,,
2011-15,Neighborhood (subborough/PUMA),Queens, Flushing/Whitestone,45,Poverty,"38,928",15.8,,
2011-15,Neighborhood (subborough/PUMA),Queens, Forest Hills/Rego Park,44,Poverty,"12,599",11.1,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Greenwich Village/Financial District,29,Poverty,"10,820",7.4,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Highbridge/South Concourse,3,Poverty,"53,605",38.5,,
2011-15,Neighborhood (subborough/PUMA),Queens, Hillcrest/Fresh Meadows,46,Poverty,"22,863",14.8,,
2011-15,Neighborhood (subborough/PUMA),Queens, Howard Beach/South Ozone Park,48,Poverty,"18,505",13.6,,
2011-15,Neighborhood (subborough/PUMA),Queens, Jackson Heights,41,Poverty,"35,857",19.7,,
2011-15,Neighborhood (subborough/PUMA),Queens, Jamaica,50,Poverty,"36,174",15.5,,
2011-15,Neighborhood (subborough/PUMA),Queens, Kew Gardens/Woodhaven,47,Poverty,"23,854",15.7,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Kingsbridge Heights/Mosholu,5,Poverty,"40,703",32.1,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Lower East Side/Chinatown,30,Poverty,"42,598",27.1,,
2011-15,Neighborhood (subborough/PUMA),Staten Island, Mid Island,54,Poverty,"12,729",9.7,,
2011-15,Neighborhood (subborough/PUMA),Queens, Middle Village/Ridgewood,43,Poverty,"23,360",13.8,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Morningside Heights/Hamilton Heights,35,Poverty,"33,066",27.4,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Morrisania/East Tremont,2,Poverty,"72,564",43.9,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Mott Haven/Hunts Point,1,Poverty,"64,169",43.1,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, N. Crown Heights/Prospect Heights,18,Poverty,"32,235",25.9,,
2011-15,Neighborhood (subborough/PUMA),Staten Island, North Shore,53,Poverty,"33,893",20,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Park Slope/Carroll Gardens,16,Poverty,"11,317",9.8,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Pelham Parkway,9,Poverty,"26,474",20.8,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Riverdale/Kingsbridge,6,Poverty,"18,462",17.7,,
2011-15,Neighborhood (subborough/PUMA),Queens, Rockaways,52,Poverty,"21,801",19,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Sheepshead Bay/Gravesend,25,Poverty,"24,529",16.4,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Soundview/Parkchester,7,Poverty,"52,959",28.6,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, South Crown Heights,19,Poverty,"23,504",21.3,,
2011-15,Neighborhood (subborough/PUMA),Staten Island, South Shore,55,Poverty,"11,848",7.1,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Stuyvesant Town/Turtle Bay,32,Poverty,"13,735",9.7,,
2011-15,Neighborhood (subborough/PUMA),Queens, Sunnyside/Woodside,40,Poverty,"20,230",14.7,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Sunset Park,17,Poverty,"43,792",29.2,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Throgs Neck/Co-op City,8,Poverty,"14,504",12.1,,
2011-15,Neighborhood (subborough/PUMA),Bronx, University Heights/Fordham,4,Poverty,"55,912",41.7,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Upper East Side,34,Poverty,"14,348",6.6,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Upper West Side,33,Poverty,"19,121",10,,
2011-15,Neighborhood (subborough/PUMA),Manhattan, Washington Heights/Inwood,38,Poverty,"54,086",25.4,,
2011-15,Neighborhood (subborough/PUMA),Bronx, Williamsbridge/Baychester,10,Poverty,"28,222",19.9,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Williamsburg/Greenpoint,11,Poverty,"40,370",26.4,,
2011-15,Neighborhood (community district),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Poverty,"20,998",16.2,,
2011-15,Neighborhood (community district),Queens, Bayside and Little Neck (CD11),411,Poverty,"9,629",8,,
2011-15,Neighborhood (community district),Brooklyn, Bedford Stuyvesant (CD3),303,Poverty,"44,892",32.4,,
2011-15,Neighborhood (community district),Bronx, Belmont and East Tremont (CD6),206,Poverty,"72,564",43.9,,
2011-15,Neighborhood (community district),Brooklyn, Bensonhurst (CD11),311,Poverty,"34,697",18.4,,
2011-15,Neighborhood (community district),Brooklyn, Borough Park (CD12),312,Poverty,"53,548",32.5,,
2011-15,Neighborhood (community district),Brooklyn, Brownsville (CD16),316,Poverty,"45,448",36.8,,
2011-15,Neighborhood (community district),Brooklyn, Bushwick (CD4),304,Poverty,"39,826",29.3,,
2011-15,Neighborhood (community district),Manhattan, Central Harlem (CD10),110,Poverty,"37,385",28.5,,
2011-15,Neighborhood (community district),Manhattan, Clinton and Chelsea (CD4),104,Poverty,"19,151",13.1,,
2011-15,Neighborhood (community district),Brooklyn, Coney Island (CD13),313,Poverty,"28,294",26.5,,
2011-15,Neighborhood (community district),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Poverty,"32,235",25.9,,
2011-15,Neighborhood (community district),Brooklyn, East Flatbush (CD17),317,Poverty,"23,465",17.3,,
2011-15,Neighborhood (community district),Manhattan, East Harlem (CD11),111,Poverty,"39,280",33.2,,
2011-15,Neighborhood (community district),Brooklyn, East New York and Starrett City (CD5),305,Poverty,"46,181",30.1,,
2011-15,Neighborhood (community district),Queens, Elmhurst and Corona (CD4),404,Poverty,"31,951",22.4,,
2011-15,Neighborhood (community district),Manhattan, Financial District (CD1),101,Poverty,"10,820",7.4,,
2011-15,Neighborhood (community district),Brooklyn, Flatbush and Midwood (CD14),314,Poverty,"34,582",21.5,,
2011-15,Neighborhood (community district),Brooklyn, Flatlands and Canarsie (CD18),318,Poverty,"25,419",12.3,,
2011-15,Neighborhood (community district),Queens, Flushing and Whitestone (CD7),407,Poverty,"38,928",15.8,,
2011-15,Neighborhood (community district),Bronx, Fordham and University Heights (CD5),205,Poverty,"55,912",41.7,,
2011-15,Neighborhood (community district),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Poverty,"24,307",19.2,,
2011-15,Neighborhood (community district),Brooklyn, Greenpoint and Williamsburg (CD1),301,Poverty,"40,370",26.4,,
2011-15,Neighborhood (community district),Manhattan, Greenwich Village and Soho (CD2),102,Poverty,"10,820",7.4,,
2011-15,Neighborhood (community district),Bronx, Highbridge and Concourse (CD4),204,Poverty,"53,605",38.5,,
2011-15,Neighborhood (community district),Queens, Hillcrest and Fresh Meadows (CD8),408,Poverty,"22,863",14.8,,
2011-15,Neighborhood (community district),Bronx, Hunts Point and Longwood (CD2),202,Poverty,"64,169",43.1,,
2011-15,Neighborhood (community district),Queens, Jackson Heights (CD3),403,Poverty,"35,857",19.7,,
2011-15,Neighborhood (community district),Queens, Jamaica and Hollis (CD12),412,Poverty,"36,174",15.5,,
2011-15,Neighborhood (community district),Queens, Kew Gardens and Woodhaven (CD9),409,Poverty,"23,854",15.7,,
2011-15,Neighborhood (community district),Bronx, Kingsbridge Heights and Bedford (CD7),207,Poverty,"40,703",32.1,,
2011-15,Neighborhood (community district),Queens, Long Island City and Astoria (CD1),401,Poverty,"30,673",17.7,,
2011-15,Neighborhood (community district),Manhattan, Lower East Side and Chinatown (CD3),103,Poverty,"42,598",27.1,,
2011-15,Neighborhood (community district),Manhattan, Midtown (CD5),105,Poverty,"19,151",13.1,,
2011-15,Neighborhood (community district),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Poverty,"33,066",27.4,,
2011-15,Neighborhood (community district),Bronx, Morris Park and Bronxdale (CD11),211,Poverty,"26,474",20.8,,
2011-15,Neighborhood (community district),Bronx, Morrisania and Crotona (CD3),203,Poverty,"72,564",43.9,,
2011-15,Neighborhood (community district),Bronx, Mott Haven and Melrose (CD1),201,Poverty,"64,169",43.1,,
2011-15,Neighborhood (community district),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Poverty,"11,317",9.8,,
2011-15,Neighborhood (community district),Bronx, Parkchester and Soundview (CD9),209,Poverty,"52,959",28.6,,
2011-15,Neighborhood (community district),Queens, Queens Village (CD13),413,Poverty,"17,410",8.8,,
2011-15,Neighborhood (community district),Queens, Rego Park and Forest Hills (CD6),406,Poverty,"12,599",11.1,,
2011-15,Neighborhood (community district),Queens, Ridgewood and Maspeth (CD5),405,Poverty,"23,360",13.8,,
2011-15,Neighborhood (community district),Bronx, Riverdale and Fieldston (CD8),208,Poverty,"18,462",17.7,,
2011-15,Neighborhood (community district),Queens, Rockaway and Broad Channel (CD14),414,Poverty,"21,801",19,,
2011-15,Neighborhood (community district),Brooklyn, Sheepshead Bay (CD15),315,Poverty,"24,529",16.4,,
2011-15,Neighborhood (community district),Staten Island, South Beach and Willowbrook (CD2),502,Poverty,"12,729",9.7,,
2011-15,Neighborhood (community district),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Poverty,"23,504",21.3,,
2011-15,Neighborhood (community district),Queens, South Ozone Park and Howard Beach (CD10),410,Poverty,"18,505",13.6,,
2011-15,Neighborhood (community district),Staten Island, St. George and Stapleton (CD1),501,Poverty,"33,893",20,,
2011-15,Neighborhood (community district),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Poverty,"13,735",9.7,,
2011-15,Neighborhood (community district),Brooklyn, Sunset Park (CD7),307,Poverty,"43,792",29.2,,
2011-15,Neighborhood (community district),Bronx, Throgs Neck and Co-op City (CD10),210,Poverty,"14,504",12.1,,
2011-15,Neighborhood (community district),Staten Island, Tottenville and Great Kills (CD3),503,Poverty,"11,848",7.1,,
2011-15,Neighborhood (community district),Manhattan, Upper East Side (CD8),108,Poverty,"14,348",6.6,,
2011-15,Neighborhood (community district),Manhattan, Upper West Side (CD7),107,Poverty,"19,121",10,,
2011-15,Neighborhood (community district),Manhattan, Washington Heights and Inwood (CD12),112,Poverty,"54,086",25.4,,
2011-15,Neighborhood (community district),Bronx, Williamsbridge and Baychester (CD12),212,Poverty,"28,222",19.9,,
2011-15,Neighborhood (community district),Queens, Woodside and Sunnyside (CD2),402,Poverty,"20,230",14.7,,
2011-15,Neighborhood (NTA),Bronx, Allerton-Pelham Gardens,531,Poverty,"4,205",13.2,,
2011-15,Neighborhood (NTA),Staten Island, Annadale-Huguenot-Prince's Bay-Eltingville,8501,Poverty,"1,562",5.4,,
2011-15,Neighborhood (NTA),Staten Island, Arden Heights,8548,Poverty,"1,824",7,,
2011-15,Neighborhood (NTA),Queens, Astoria,8170,Poverty,"12,601",16.3,,
2011-15,Neighborhood (NTA),Queens, Auburndale,8148,Poverty,"1,470",7.1,,
